quant_stage,dna_plate_id,dna_extract_tube_id,random_array,sample_type,preservative,dna_plate_row,dna_plate_col,sample_id,ng_per_ul_mean,ng_per_ul_lwr95,ng_per_ul_upr95,flags
original,rme_dna_2024-02-06,rme_01,61,sample,no preservative,F,1,adu-1123-cs,0.5289429107220509,0.2709096700977496,0.6816586590804141,
original,rme_dna_2024-02-06,rme_02,49,sample,no preservative,E,1,agt-1123-cs,0.14784527550680293,0.10711544745696196,0.2605029743509406,
original,rme_dna_2024-02-06,rme_03,7,sample,no preservative,A,7,cga-1123-cs,0.15849918150794107,0.11570390609285956,0.2389652822869331,
original,rme_dna_2024-02-06,rme_04,40,sample,no preservative,D,4,cmu-1123-cs,0.36570291873824334,0.19988994369101334,0.4719742026574826,
original,rme_dna_2024-02-06,rme_05,34,sample,no preservative,C,10,cvi-1123-cs,0.3987426920256215,0.22051462180496006,0.5221997029780162,
original,rme_dna_2024-02-06,rme_06,95,sample,no preservative,H,11,hpo-1123-cs,0.3028279377920703,0.15800585336933806,0.4020817712417456,
original,rme_dna_2024-02-06,rme_07,91,sample,no preservative,H,7,jre-1123-cs,0.19498259673470886,0.13126707044907268,0.2655907498361396,
original,rme_dna_2024-02-06,rme_08,27,sample,no preservative,C,3,mch-1123-cs,0.38306600684911796,0.21436959077994905,0.4927957539248939,
original,rme_dna_2024-02-06,rme_09,73,sample,no preservative,G,1,okg-1123-cs,0.36432243534332676,0.20571786925623747,0.46036081075113117,
original,rme_dna_2024-02-06,rme_10,69,sample,no preservative,F,9,rre-1123-cs,0.42496859801968756,0.23901102856993334,0.5416690894855567,
original,rme_dna_2024-02-06,rme_11,62,sample,no preservative,F,2,sip-1123-cs,0.5387196433779144,0.2621936307516705,0.6754324463372022,
original,rme_dna_2024-02-06,rme_12,56,sample,no preservative,E,8,spo-1123-cs,0.37563776226123313,0.22170395569340912,0.4790660249538333,
original,rme_dna_2024-02-06,rme_13,50,sample,no preservative,E,2,wha-1123-cs,0.48014364571205304,0.23325330396235788,0.6122675004746441,
original,rme_dna_2024-02-06,rme_14,53,field control,no preservative,E,5,nfc-1123-cs,0.09547765862169802,0.06771375693541017,0.12484108599911992,
original,rme_dna_2024-02-06,rme_15,39,extraction control,no preservative,D,3,nec-0124-np,0.08512175881488493,0.06557599689554944,0.11570118576176776,
original,rme_dna_2024-02-06,rme_16,55,sample,dess,E,7,wha-1123-ds,0.39394794524747434,0.22691144836719424,0.49645000569712766,
original,rme_dna_2024-02-06,rme_17,38,sample,buffer tl,D,2,adu-1123-tl,0.09302934281093737,0.06931421986644137,0.1946237639070699,
original,rme_dna_2024-02-06,rme_18,3,sample,dess,A,3,jre-1123-ds,0.1433583628254292,0.0963529664692598,0.22147925814858224,
original,rme_dna_2024-02-06,rme_19,92,sample,dess,H,8,adu-1123-ds,0.4470678110115669,0.16023350394162295,0.5691700683112715,
original,rme_dna_2024-02-06,rme_20,94,sample,buffer tl,H,10,wha-1123-tl,0.07933963217673115,0.0606363094714506,0.1570467143861296,
original,rme_dna_2024-02-06,rme_21,37,sample,buffer tl,D,1,sip-1123-tl,0.140814973048831,0.0992362284736509,0.21064349271472482,
original,rme_dna_2024-02-06,rme_22,80,sample,buffer tl,G,8,agt-1123-tl,0.07320826392417826,0.05520229242549072,0.14459870765162058,
original,rme_dna_2024-02-06,rme_23,8,sample,buffer tl,A,8,cvi-1123-tl,0.051272537581032826,0.041349788522453114,0.11534074181963423,
original,rme_dna_2024-02-06,rme_24,1,extraction control,no preservative,A,1,nec-0124-np,0.0407179195463667,0.03303654446010926,0.06628059178175709,
original,rme_dna_2024-02-06,rme_25,86,sample,dess,H,2,rre-1123-ds,0.28923494120059623,0.18082134526545113,0.3976348568869313,
original,rme_dna_2024-02-06,rme_26,19,sample,dess,B,7,mch-1123-ds,0.4264436790043096,0.2354754190907858,0.551190582982029,
original,rme_dna_2024-02-06,rme_27,26,sample,buffer tl,C,2,rre-1123-tl,0.07677336568197235,0.06059868510919488,0.15282492966926037,
original,rme_dna_2024-02-06,rme_28,45,field control,dess,D,9,nfc-1123-ds,0.049295622252500566,0.03884766791481285,0.0719711678489816,
original,rme_dna_2024-02-06,rme_29,32,sample,dess,C,8,okg-1123-ds,0.2720484844579346,0.15552401841966595,0.3669089757552786,
original,rme_dna_2024-02-06,rme_30,88,sample,dess,H,4,hpo-1123-ds,0.36217528744643124,0.20397782337362208,0.47143447562351914,
original,rme_dna_2024-02-06,rme_31,44,sample,buffer tl,D,8,mch-1123-tl,0.08721368731459016,0.06603640582103382,0.15588146884780396,
original,rme_dna_2024-02-06,rme_32,12,sample,dess,A,12,spo-1123-ds,0.5994306571641526,0.3023582202204793,0.735046707715484,
original,rme_dna_2024-02-06,rme_33,52,sample,buffer tl,E,4,spo-1123-tl,0.07260046234741288,0.056653635168108216,0.13714584083826428,
original,rme_dna_2024-02-06,rme_34,82,sample,dess,G,10,sip-1123-ds,0.6119008620613237,0.30776506144602894,0.7978413619053877,
original,rme_dna_2024-02-06,rme_35,36,extraction control,no preservative,C,12,nec-0124-np,0.04954087477258113,0.039333666854867715,0.07445950786571387,
original,rme_dna_2024-02-06,rme_36,15,sample,buffer tl,B,3,okg-1123-tl,0.06944713245549934,0.055314787304130614,0.12350797492869832,
original,rme_dna_2024-02-06,rme_37,48,sample,buffer tl,D,12,cmu-1123-tl,0.06890228084413347,0.055705712725380906,0.13597494601012172,
original,rme_dna_2024-02-06,rme_38,89,sample,dess,H,5,agt-1123-ds,0.12410169246026537,0.09152740866084146,0.19669742313297003,
original,rme_dna_2024-02-06,rme_39,75,sample,buffer tl,G,3,cga-1123-tl,0.06634986867284814,0.05230255766218874,0.17731703330256682,Variable DNA
original,rme_dna_2024-02-06,rme_40,58,sample,dess,E,10,cmu-1123-ds,0.17310654692860067,0.11912431066399386,0.36039630708948284,
original,rme_dna_2024-02-06,rme_41,63,sample,dess,F,3,cvi-1123-ds,0.27640945296677294,0.1554664851771569,0.3709581040155509,
original,rme_dna_2024-02-06,rme_42,17,field control,buffer tl,B,5,nfc-1123-tl,0.07711981712400662,0.058013729766866674,0.10152783554041452,
original,rme_dna_2024-02-06,rme_43,93,sample,buffer tl,H,9,hpo-1123-tl,0.07431681810050003,0.051330508293218106,0.1415217946229283,
original,rme_dna_2024-02-06,rme_44,6,sample,buffer tl,A,6,jre-1123-tl,0.06441556451486599,0.051439028117866215,0.12969191685627232,
original,rme_dna_2024-02-06,rme_45,29,sample,dess,C,5,cga-1123-ds,0.11519113348137941,0.0837749777716873,0.18493088209190248,
original,rme_dna_2024-02-06,rme_46,96,sample,dess,H,12,okg-1123-ds,0.11618668829819309,0.08728512926583912,0.19310734835750556,
original,rme_dna_2024-02-06,rme_47,66,sample,dess,F,6,cvi-1123-ds,0.08287610821955355,0.06265136872477628,0.15497526274393172,
original,rme_dna_2024-02-06,rme_48,31,sample,buffer tl,C,7,spo-1123-tl,0.12320199637439938,0.08727004231477653,0.2506173269030421,
original,rme_dna_2024-02-06,rme_49,68,sample,no preservative,F,8,cvi-1123-cs,0.05761395306109117,0.045991887810120355,0.15781889648091435,Variable DNA
original,rme_dna_2024-02-06,rme_50,65,sample,buffer tl,F,5,mch-1123-tl,0.07614038315373123,0.0586687113458178,0.19159742995013881,Variable DNA
original,rme_dna_2024-02-06,rme_51,90,sample,buffer tl,H,6,adu-1123-tl,0.07899418982016404,0.06097276480774377,0.14749459244634036,
original,rme_dna_2024-02-06,rme_52,79,sample,dess,G,7,jre-1123-ds,0.07375824451813286,0.05773387360220004,0.14287806290196453,
original,rme_dna_2024-02-06,rme_53,85,sample,no preservative,H,1,wha-1123-cs,0.07793173726427749,0.05817672024818682,0.14188964194950046,
original,rme_dna_2024-02-06,rme_54,71,sample,no preservative,F,11,okg-1123-cs,0.1061076112028877,0.07982022527998531,0.1889457111497715,
original,rme_dna_2024-02-06,rme_55,59,extraction control,no preservative,E,11,nec-0124-np,0.07508342877689309,0.05640136007810809,0.09990386152075227,
original,rme_dna_2024-02-06,rme_56,30,sample,buffer tl,C,6,jre-1123-tl,0.08705375332941567,0.06497524814879123,0.17102165907217975,
original,rme_dna_2024-02-06,rme_57,87,sample,dess,H,3,agt-1123-ds,0.12550128912440195,0.09162965205661786,0.20420291639675972,
original,rme_dna_2024-02-06,rme_58,22,sample,no preservative,B,10,spo-1123-cs,0.12473552364425683,0.08743642735754487,0.19004540085078409,
original,rme_dna_2024-02-06,rme_59,2,sample,dess,A,2,hpo-1123-ds,0.18824424493610514,0.13136215912628704,0.2694586941475793,
original,rme_dna_2024-02-06,rme_60,11,field control,dess,A,11,nfc-1123-ds,0.09111097590943446,0.064563061750273,0.12186950852750661,
original,rme_dna_2024-02-06,rme_61,54,sample,buffer tl,E,6,agt-1123-tl,0.10585743979974516,0.08014277924780965,0.19426656704508652,
original,rme_dna_2024-02-06,rme_62,77,sample,buffer tl,G,5,hpo-1123-tl,0.12669717363113264,0.09261751791341086,0.20445872724349884,
original,rme_dna_2024-02-06,rme_63,33,sample,buffer tl,C,9,okg-1123-tl,0.08919329012674614,0.06696570673016128,0.15369822302602537,
original,rme_dna_2024-02-06,rme_64,13,sample,dess,B,1,mch-1123-ds,0.13954902654075538,0.09872831681384218,0.21854719715351273,
original,rme_dna_2024-02-06,rme_65,25,field control,no preservative,C,1,nfc-1123-cs,0.06632518768279991,0.0500138625666897,0.09045175935703359,
original,rme_dna_2024-02-06,rme_66,51,sample,buffer tl,E,3,cmu-1123-tl,0.06754981511160876,0.052347389821816435,0.12845064648974375,
original,rme_dna_2024-02-06,rme_67,46,sample,no preservative,D,10,cmu-1123-cs,0.0745349238597688,0.05921946724789844,0.15622776570174404,
original,rme_dna_2024-02-06,rme_68,81,sample,dess,G,9,wha-1123-ds,0.09161731471542627,0.0701462984284023,0.16411441029179996,
original,rme_dna_2024-02-06,rme_69,21,sample,no preservative,B,9,sip-1123-cs,0.11285059544158624,0.07340819285221209,0.1808941641370393,
original,rme_dna_2024-02-06,rme_70,24,sample,buffer tl,B,12,rre-1123-tl,0.07830318563589088,0.06146947337976037,0.15741588922995625,
original,rme_dna_2024-02-06,rme_71,9,extraction control,no preservative,A,9,nec-0124-np,0.058922691962377614,0.04431597540200783,0.08578209305434867,
original,rme_dna_2024-02-06,rme_72,60,sample,buffer tl,E,12,wha-1123-tl,0.08098523219355218,0.06337174945273745,0.19591801462304456,
original,rme_dna_2024-02-06,rme_73,41,field control,buffer tl,D,5,nfc-1123-tl,0.12046650884317847,0.0878789104164778,0.14872224207990797,Contaminated Control
original,rme_dna_2024-02-06,rme_74,18,sample,buffer tl,B,6,cga-1123-tl,0.05411190989420479,0.04308491901704147,0.15435860186172326,Variable DNA
original,rme_dna_2024-02-06,rme_75,67,sample,no preservative,F,7,rre-1123-cs,0.11924696043578979,0.08698979303412152,0.25417456099463454,
original,rme_dna_2024-02-06,rme_76,72,sample,dess,F,12,cmu-1123-ds,0.12238065139232071,0.04727848261455914,0.18477572297406886,
original,rme_dna_2024-02-06,rme_77,20,sample,no preservative,B,8,cga-1123-cs,0.08994621098451344,0.06749308587245544,0.18590418451760757,
original,rme_dna_2024-02-06,rme_78,84,sample,no preservative,G,12,adu-1123-cs,0.1179562483973225,0.08868409056348522,0.20186907011809094,
original,rme_dna_2024-02-06,rme_79,35,sample,dess,C,11,adu-1123-ds,0.15069652992375016,0.10811890075054426,0.27092856548181515,
original,rme_dna_2024-02-06,rme_80,64,sample,buffer tl,F,4,sip-1123-tl,0.09897881020108822,0.07254165814379679,0.19474154690999942,
original,rme_dna_2024-02-06,rme_81,42,sample,no preservative,D,6,hpo-1123-cs,0.11777709110098744,0.08227269765095668,0.23987339875678815,
original,rme_dna_2024-02-06,rme_82,83,sample,buffer tl,G,11,cvi-1123-tl,0.05425346083325888,0.04362535619957323,0.12672596055626376,
original,rme_dna_2024-02-06,rme_83,28,sample,dess,C,4,rre-1123-ds,0.11742864618689422,0.08565594682285808,0.17797385973254504,
original,rme_dna_2024-02-06,rme_84,76,sample,dess,G,4,sip-1123-ds,0.15191416085347803,0.10526795478888701,0.2671451861548795,
original,rme_dna_2024-02-06,rme_85,47,sample,no preservative,D,11,mch-1123-cs,0.11267868791393901,0.08150066683189586,0.17550676461663153,
original,rme_dna_2024-02-06,rme_86,14,sample,dess,B,2,cga-1123-ds,0.1347419447821952,0.09548930724918732,0.21000281069065957,
original,rme_dna_2024-02-06,rme_87,4,sample,no preservative,A,4,jre-1123-cs,0.16809617992855622,0.11869745406733359,0.243068362882677,
original,rme_dna_2024-02-06,rme_88,23,sample,no preservative,B,11,agt-1123-cs,0.08740515648716682,0.06724120185585963,0.15678240093227389,
original,rme_dna_2024-02-06,rme_89,10,sample,dess,A,10,spo-1123-ds,0.28620713081360927,0.17047623925519365,0.3749044705626866,
original,rme_dna_2024-02-06,rme_90,74,extraction control,no preservative,G,2,nec-0124-np,0.029983111702695638,0.024126319215493967,0.04844655007749669,
